acpi 1.7-3
plasma-pa 5.21.2-1
plasma-simplemenu 1.0.12-1
plasma-workspace 5.21.2-1
poppler-data 0.4.10-1
powerdevil 5.21.2-1
powertop 2.13-1
procps-ng 3.3.17-1
psmisc 23.4-1
pulseaudio-bluetooth 14.2-2
pulseaudio-ctl 1.67-1
pulseaudio-zeroconf 14.2-2
python-pip 20.3.1-1
qbittorrent 4.3.3-1
qt5-imageformats 5.15.2-1
qt5-virtualkeyboard 5.15.2-1
ranger 1.9.3.143.g5047d9e5-1
reiserfsprogs 3.6.27-3
ripgrep 12.1.1-1
rsync 3.2.3-3
ruby 2.7.2-1
s-nail 14.9.21-1
samba 4.13.4-1
screenfetch 3.9.1-1
sddm 0.19.0-3
sddm-breath2-theme 1.0.10-2
sddm-kcm 5.21.2-1
sed 4.8-1
shadow 4.8.1-4
spectacle 20.12.2-2
spectre-meltdown-checker 0.43-1
speedcrunch 0.12.0-3
squashfs-tools 4.4-2
sshfs 3.7.1-1
starship-bin 0.50.0-1
sudo 1.9.5.p2-1
sysfsutils 2.1.0-11
systemd 247.3-1
systemd-fsck-silent 239-1
systemd-kcm 1.2.1-5
systemd-sysvcompat 247.3-1
systemsettings 5.21.2-1
tar 1.34-1
terminus-font 4.49.1-1
texinfo 6.7-3
the_silver_searcher 2.2.0-2
thunderbird 78.8.1-0.1
tlp 1.3.1-2
tmux 3.1_c-1
ttf-dejavu 2.37+18+g9b5d1b2f-2
udiskie 2.3.2-1
udisks2 2.9.2-1
unarchiver 1.10.7-2
usb_modeswitch 2.6.1-1
usbutils 013-1
util-linux 2.36.2-1
valgrind 3.16.1-4
vi 1:070224-4
visual-studio-code-bin 1.54.2-1
wget 1.21.1-1
which 2.21-5
wpa_supplicant 2:2.9-8
xclip 0.13-3
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-elographics 1.4.2-2
xf86-input-evdev 2.10.6-2
xf86-input-libinput 0.30.0-1
xf86-input-void 1.4.1-5
xfsprogs 5.10.0-2
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.10-3
xorg-twm 1.0.11-1
xorg-xinit 1.4.1-3
xorg-xkill 1.0.5-2
xorg-xrandr 1.5.1-2
xorg-xwininfo 1.1.5-2
xsel 1.2.0.20190821-1
xz 5.2.5-1
yarn 1.22.10-1
youtube-dl 2021.03.02-1
zensu 0.3-1
zoom-system-qt 5.4.53391.1108-3
